ID,ADDRESS,TYPE,BRANCH
177,台北市萬華區成都路96號1樓,統一超商股份有限公司,成都
178,台北市士林區劍潭路21號1樓,統一超商股份有限公司,三樂
179,台北市中山區林森北路107巷15號1樓,統一超商股份有限公司,六條通
180,台北市士林區大東路123號125號1樓,統一超商股份有限公司,新士林
181,台北市士林區華岡路45之1號1樓,統一超商股份有限公司,太學
182,台北市南港區研究院路二段94號96號98巷1號,統一超商股份有限公司,胡適
183,台北市信義區松高路11號B2樓,統一超商股份有限公司,統誠
184,台北市南港區八德路四段778號780號,統一超商股份有限公司,凱松
185,台北市松山區民生東路四段54號之2一樓,統一超商股份有限公司,明塑
186,台北市內湖區內湖路三段59巷1號61號63號,統一超商股份有限公司,碧綠
187,台北市信義區永吉路30巷103號,統一超商股份有限公司,永信
188,台北市中正區仁愛路二段39號39-1號,統一超商股份有限公司,仁金
189,台北市信義區忠孝東路五段1之6號,統一超商股份有限公司,松捷
190,台北市大安區大安路一段218號,統一超商股份有限公司,信安
191,台北市信義區和平東路三段461號461之1號1樓,統一超商股份有限公司,麟運
192,台北市松山區新東街60巷16號18號1樓,統一超商股份有限公司,福源
193,台北市松山區敦化北路340-9號,統一超商股份有限公司,松航
194,台北市中正區漢口街一段82號1樓,統一超商股份有限公司,漢慶
195,台北市信義區林口街48號,統一超商股份有限公司,萊福
196,台北市中山區一江街23號1樓,統一超商股份有限公司,江陵
197,台北市內湖區文湖街83號85號1樓,統一超商股份有限公司,金湖
198,台北市萬華區漢口街二段73號1樓,統一超商股份有限公司,六福
199,台北市中正區濟南路二段50號,統一超商股份有限公司,濟新
200,台北市信義區光復南路471號,統一超商股份有限公司,光復
201,台北市大同區民生西路176號,統一超商股份有限公司,雙連
202,台北市中山區長安東路一段75號1樓,統一超商股份有限公司,長新
203,台北市大同區延平北路三段61-5號,統一超商股份有限公司,延年
204,台北市中山區晴光里中山北路三段47號,統一超商股份有限公司,麥田
205,台北市中山區南京東路一段132巷8號,統一超商股份有限公司,國旺
206,台北市松山區市民大道路四段105號,統一超商股份有限公司,市大
